ps_code,mp_code,mp_name,boiler_name,boiler_type,creater_time,burn_ability,data_status,open_time,create_time,update_time,stopopen_time,stopopen_status,stopopen_reason,success_time
15D3DD515A8614F86C7E1D2CA2136E68E72D7BA65EC2582564868D0793E1529DE892D54ECE815D56,15D3DD515A8614F86C7E1D2CA2136E68F3975720225F2B6B76D60BF47B4E216CD947D7AACF987602,1号焚烧炉,1号焚烧炉,炉排炉,2022-09-10,500,0,2022-12-21 00:00:00,2022-11-25 09:35:08,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
2CE7A8B727E8969D12A67D9C0C928FFC,2CE7A8B727E8969D0CA4982CF37403BC,监控点2#,监控点2#,炉排炉,2008-04-01,400,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
2CE7A8B727E8969D12A67D9C0C928FFC,2CE7A8B727E8969D18026DB3C4F379D4,监控点3#,监控点3#,炉排炉,2013-09-03,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
2CE7A8B727E8969D12A67D9C0C928FFC,2CE7A8B727E8969DA37BB36750963FA3,监控点4#,监控点4#,炉排炉,2015-05-01,400,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
2CE7A8B727E8969D12A67D9C0C928FFC,2CE7A8B727E8969DD6A7559D57E76757,监控点1#,监控点1#,炉排炉,2008-04-01,400,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
2CE7A8B727E8969D12A67D9C0C928FFC,2CE7A8B727E8969DE595B10C45726EC3,监控点5#,监控点5#,炉排炉,2020-01-19,750,0,2020-04-20 00:00:00,2020-04-15 09:35:03,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
741D8E7C313F0FD6A0EDCD709C78891D,741D8E7C313F0FD64182D9745950F9E5,2#焚烧炉烟气排放口,2#焚烧炉烟气排放口,炉排炉,2021-09-19,350,0,2022-01-20 00:00:00,2022-01-20 09:35:08,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
741D8E7C313F0FD6A0EDCD709C78891D,741D8E7C313F0FD6F92FAAFCFBAA4F2F,1#焚烧炉烟气排放口,1#焚烧炉烟气排放口,炉排炉,2021-09-21,350,0,2022-01-20 00:00:00,2022-01-20 09:35:08,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
1F145C94054D5FF4D66ECD1307D11B77,1F145C94054D5FF4FB338E77AC01024F,焚烧烟气1#排气筒,焚烧烟气1#排气筒,炉排炉,2020-05-18,600,0,2020-08-20 00:00:00,2020-06-15 19:04:02,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
1F145C94054D5FF4D66ECD1307D11B77,F15256CD863A8503D66FA0B13FF1A501144672C657CF60F20475E02B6980DF39D8D1C031D99B61F3,焚烧烟气2#排气筒,2号排放口,炉排炉,2022-07-07,600,0,2022-10-09 00:00:00,2022-10-09 09:35:07,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
661B669BFE73BF30169ABBE50287B5D4,661B669BFE73BF3011901B209170EF71,焚烧炉废气排放口,废气排放口,炉排炉,2018-01-28,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
661B669BFE73BF30169ABBE50287B5D4,A5E33BA3E131A6606CCD89E7A0EBCC3A3CF982D0FDFEB24ACD247D9551E51F259C69D42679631D2F,2号废气排放口,2号废气排放口,炉排炉,2022-08-06,750,0,2022-10-10 00:00:00,2022-10-10 09:35:09,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
DE3681CD588BB5A723F3BFA8B55D1881,DE3681CD588BB5A734931EF232930122,1#机组烟囱出口烟道,1#机组烟囱出口烟道,炉排炉,2019-02-02,300,0,2020-09-19 00:00:00,2020-09-19 09:35:06,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
3E458CF3D8129DCDF194B92FF24EDC04,3E458CF3D8129DCDF894E4A051959C9A,2号烟道,2#炉,炉排炉,2017-07-16,400,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
3E458CF3D8129DCDF194B92FF24EDC04,3E458CF3D8129DCDACE8255ED18B9836,1号烟道,1#炉,炉排炉,2017-07-16,400,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
8609CB94471AA9B686F8709F4CE4E7F1,8609CB94471AA9B6C5F010C5770DA4C2,1#引风机出口水平烟道,1#引风机出口水平烟道,炉排炉,2007-07-01,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
8609CB94471AA9B686F8709F4CE4E7F1,8609CB94471AA9B611ECEA33A85430CE,2#引风机出口水平烟道,2#引风机出口水平烟道,炉排炉,2007-07-01,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
85148DA402057DF69ABADFEC5689260F,85148DA402057DF624489254E6403A4A,1号烟囱,1号烟囱,炉排炉,2022-02-28,500,0,2022-04-02 00:00:00,2022-03-07 13:17:25,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
85148DA402057DF69ABADFEC5689260F,85148DA402057DF66A7CA65C5615B3FE,2号烟囱,2号烟囱,炉排炉,2022-02-28,500,0,2022-03-08 00:00:00,2022-03-04 09:35:07,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
13C2D0DCE6FB5F5FDF8FC4CC39CEEA9A,13C2D0DCE6FB5F5F87FC3930C81C301F,1号炉监控点,1号炉监控点,炉排炉,2017-10-25,500,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
13C2D0DCE6FB5F5FDF8FC4CC39CEEA9A,13C2D0DCE6FB5F5FD684E4675EFD8D59,2号炉监控点,2号炉监控点,炉排炉,2017-10-25,500,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F4077A9A9D5E1CFAD3,5号炉废气监控点,5号炉废气监控点,炉排炉,2018-03-18,750,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F46150B1574CFEFCBD,6号炉废气监控点,6号炉废气监控点,炉排炉,2018-05-25,750,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F48678F1F8E54B86E3,7号炉废气监控点,7号炉废气监控点,炉排炉,2018-11-20,750,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
